Time_s         F1_Hz        F2_Hz         F3_Hz   F4_Hz
2.694155   902.220941   3649.252379   --undefined--   --undefined--
2.700405   911.347804   3639.778576   --undefined--   --undefined--
2.706655   828.630591   3622.324219   --undefined--   --undefined--
2.712905   800.056857   3627.785561   --undefined--   --undefined--
2.719155   852.083667   3632.740041   --undefined--   --undefined--
2.725405   880.056764   3683.086781   --undefined--   --undefined--
2.731655   911.375609   3754.432348   --undefined--   --undefined--
2.737905   893.602631   3658.531147   --undefined--   --undefined--
2.744155   920.360444   3658.240358   --undefined--   --undefined--
2.750405   939.823270   3667.273022   --undefined--   --undefined--
2.756655   946.640833   3666.525137   --undefined--   --undefined--
2.762905   932.252131   3634.153822   --undefined--   --undefined--
2.769155   913.264288   3614.239517   --undefined--   --undefined--
2.775405   899.770170   3632.583117   --undefined--   --undefined--
2.781655   890.361240   3619.454290   --undefined--   --undefined--
2.787905   890.288311   3572.448450   --undefined--   --undefined--
2.794155   889.695844   3569.483167   --undefined--   --undefined--
2.800405   879.516129   3579.724250   --undefined--   --undefined--
2.806655   865.098459   3610.650673   --undefined--   --undefined--
2.812905   853.225493   3648.074850   --undefined--   --undefined--
2.819155   847.189597   3733.598502   --undefined--   --undefined--
2.825405   842.245264   3788.671219   --undefined--   --undefined--
2.831655   836.960709   3805.908147   --undefined--   --undefined--
2.837905   829.451055   3759.187976   --undefined--   --undefined--
2.844155   820.512145   3742.021128   --undefined--   --undefined--
2.850405   811.666937   3731.162275   --undefined--   --undefined--
2.856655   806.389269   3700.108101   --undefined--   --undefined--
2.862905   796.693966   3678.076833   --undefined--   --undefined--
2.869155   792.971800   3659.039866   --undefined--   --undefined--
2.875405   794.455552   3651.247194   --undefined--   --undefined--
2.881655   794.176527   3644.859048   --undefined--   --undefined--
2.887905   783.061708   3691.497714   --undefined--   --undefined--
2.894155   749.391271   3736.648740   --undefined--   --undefined--
2.900405   712.197820   3732.874328   --undefined--   --undefined--
2.906655   709.442481   3673.442833   --undefined--   --undefined--
2.912905   707.086370   3621.886070   --undefined--   --undefined--
2.919155   738.939718   3629.220712   --undefined--   --undefined--
2.925405   725.794509   3644.644692   --undefined--   --undefined--
2.931655   722.304243   3658.383750   --undefined--   --undefined--
2.937905   725.900868   3654.961134   --undefined--   --undefined--
2.944155   728.184152   3642.391588   --undefined--   --undefined--
2.950405   725.633335   3595.646712   --undefined--   --undefined--
2.956655   709.027923   3589.598365   --undefined--   --undefined--
2.962905   669.926532   3592.291038   --undefined--   --undefined--
2.969155   667.359282   3603.662195   --undefined--   --undefined--
2.975405   646.893931   3576.220032   --undefined--   --undefined--
2.981655   693.696038   3583.602748   --undefined--   --undefined--
2.987905   718.411795   3693.102397   --undefined--   --undefined--
2.994155   669.965463   3873.986296   --undefined--   --undefined--
3.000405   657.821330   3993.242725   --undefined--   --undefined--
3.006655   549.306231   4148.178482   --undefined--   --undefined--
3.012905   468.269099   4163.332511   --undefined--   --undefined--
3.019155   548.387765   4030.699973   --undefined--   --undefined--
3.025405   545.557440   4440.804513   --undefined--   --undefined--
3.031655   457.005713   4506.531917   --undefined--   --undefined--
3.037905   377.971697   4599.178074   --undefined--   --undefined--
3.044155   544.117505   4672.229238   --undefined--   --undefined--
3.050405   579.356674   4537.942753   --undefined--   --undefined--
3.056655   610.686668   4454.095243   --undefined--   --undefined--
3.062905   693.237355   4351.302447   --undefined--   --undefined--
3.069155   727.515288   4457.306809   --undefined--   --undefined--
3.075405   692.517833   4512.000891   --undefined--   --undefined--
3.081655   616.164644   4440.836293   --undefined--   --undefined--
3.087905   654.676548   4420.565554   --undefined--   --undefined--
3.094155   639.062172   4524.099465   --undefined--   --undefined--
3.100405   579.983634   4366.748226   --undefined--   --undefined--
3.106655   372.418197   4257.681982   --undefined--   --undefined--
3.112905   4231.958924   --undefined--   --undefined--   --undefined--
3.119155   4289.299236   --undefined--   --undefined--   --undefined--
3.125405   4201.827027   --undefined--   --undefined--   --undefined--
3.131655   901.130973   4292.552646   --undefined--   --undefined--
3.137905   1586.817009   4407.502249   --undefined--   --undefined--
3.144155   1530.155074   4389.512968   --undefined--   --undefined--
3.150405   1349.116324   4374.486148   --undefined--   --undefined--
3.156655   1630.795334   4598.330085   --undefined--   --undefined--
3.162905   1491.467887   4592.468481   --undefined--   --undefined--
3.169155   1797.812613   4617.779623   --undefined--   --undefined--
3.175405   1920.303955   4639.530141   --undefined--   --undefined--
3.181655   1774.275178   4648.527430   --undefined--   --undefined--
3.187905   1849.063745   4638.545200   --undefined--   --undefined--
3.194155   1897.172407   4438.233579   --undefined--   --undefined--
3.200405   1871.684599   4420.918330   --undefined--   --undefined--
3.206655   1890.993755   4447.481833   --undefined--   --undefined--
3.212905   1913.864619   4305.692601   --undefined--   --undefined--
3.219155   1962.069215   4519.292811   --undefined--   --undefined--
3.225405   1784.443018   4500.802263   --undefined--   --undefined--
3.231655   2002.110569   4644.087937   --undefined--   --undefined--
3.237905   1972.122578   4647.369749   --undefined--   --undefined--
3.244155   2022.191804   4541.095124   --undefined--   --undefined--
